Running HiGHS 1.14.0 (git hash: n/a): Copyright (c) 2026 under MIT licence terms
LP linopy-problem-_kgy3aom has 423016 rows; 182803 cols; 929255 nonzeros
Coefficient ranges:
  Matrix  [1e-03, 6e+01]
  Cost    [2e-02, 1e+03]
  Bound   [6e+07, 6e+07]
  RHS     [8e-02, 3e+04]
WARNING: Problem has some excessively large column bounds
WARNING:    Consider scaling the    bounds by 1e-2, or setting the user_bound_scale option to -6
Presolving model
232192 rows, 173414 cols, 718581 nonzeros 0s
Dependent equations search running on 34728 equations with time limit of 1000.00s
Dependent equations search removed 0 rows and 0 nonzeros in 0.01s (limit = 1000.00s)
208236 rows, 149844 cols, 683891 nonzeros 1s
Presolve reductions: rows 208236(-214780); columns 149844(-32959); nonzeros 683891(-245364) 
Solving the presolved LP
IPX model has 208236 rows, 149844 columns and 683891 nonzeros
Input
    Number of variables:                                149844
    Number of free variables:                           13104
    Number of constraints:                              208236
    Number of equality constraints:                     34728
    Number of matrix entries:                           683891
    Matrix range:                                       [1e-03, 9e+01]
    RHS range:                                          [1e-01, 2e+04]
    Objective range:                                    [7e-06, 3e+04]
    Bounds range:                                       [8e-02, 3e+04]
Preprocessing
    Dualized model:                                     no
    Number of dense columns:                            0
    Range of scaling factors:                           [2.50e-01, 3.20e+01]
    Scaled cost norm:                                   26419.7
    Scaled bounds norm:                                 27775.5
IPX version 1.0
Interior point solve
 Iter       primal obj         dual obj       pinf       dinf       gap      time
  14    8.92005595e+08  -6.37954105e+08   4.36e-08   5.74e-08  1.20e+01     203.2
  15    4.99053551e+08  -3.93867079e+08   1.70e-08   2.71e-08  1.70e+01     211.3
  16    4.62990002e+08  -2.97809410e+08   1.33e-08   9.67e-09  9.21e+00     221.5
  17    3.07415161e+08  -2.33505075e+08   6.26e-09   6.32e-09  1.46e+01     227.0
  18    2.22500531e+08  -1.36097434e+08   1.82e-09   7.34e-10  8.30e+00     231.7
  19    1.32568050e+08  -6.20424784e+07   6.88e-10   1.60e-10  5.52e+00     237.7
  20    1.05557673e+08  -4.15060497e+07   4.25e-10   6.42e-11  4.59e+00     245.7
  21    7.13376466e+07  -2.73631595e+07   2.26e-10   3.83e-11  4.49e+00     251.7
  22    5.70285503e+07  -1.48775422e+07   1.36e-10   1.43e-11  3.41e+00     257.6
  23    5.12424248e+07  -9.47940581e+06   1.06e-10   7.58e-12  2.91e+00     261.8
  24    4.81482656e+07  -5.17789334e+06   9.49e-11   4.78e-12  2.48e+00     264.9
  25    3.75795525e+07  -2.37913640e+06   5.90e-11   3.32e-12  2.27e+00     267.1
  26    3.59244424e+07  -1.16144191e+06   5.14e-11   2.12e-12  2.13e+00     269.3
  27    3.42618801e+07  -3.67515171e+05   4.69e-11   1.90e-12  2.04e+00     271.4
  28    3.04732129e+07   1.82931390e+06   3.26e-11   6.91e-13  1.77e+00     273.2
  29    2.82305563e+07   3.56047411e+06   2.66e-11   4.00e-13  1.55e+00     275.3
  30    2.75694957e+07   4.33523301e+06   2.52e-11   3.30e-13  1.46e+00     277.0
  31    2.59665908e+07   5.26762083e+06   2.13e-11   1.89e-13  1.33e+00     278.6
  32    2.53197152e+07   5.49038238e+06   1.94e-11   8.45e-14  1.29e+00     280.2
  33    2.38290694e+07   5.94820825e+06   1.54e-11   2.11e-14  1.20e+00     281.7
  34    2.35306951e+07   6.09785162e+06   1.49e-11   1.95e-14  1.18e+00     283.3
  35    2.01750544e+07   6.70714698e+06   7.70e-12   9.64e-15  1.00e+00     284.8
  36    1.79407935e+07   7.74533447e+06   4.84e-12   5.61e-15  7.94e-01     286.5
  37    1.65498564e+07   8.14350837e+06   2.77e-12   3.48e-15  6.81e-01     288.3
  38    1.52837083e+07   8.74172881e+06   1.30e-12   1.55e-15  5.45e-01     290.3
  39    1.46399983e+07   8.97814257e+06   9.02e-13   1.27e-15  4.79e-01     292.3
  40    1.43353066e+07   9.12797832e+06   7.09e-13   1.10e-15  4.44e-01     294.9
  41    1.38830513e+07   9.63250708e+06   4.22e-13   4.99e-16  3.62e-01     296.5
  42    1.33910068e+07   9.90105538e+06   2.62e-13   3.79e-16  3.00e-01     298.3
  43    1.33837580e+07   9.92061795e+06   2.58e-13   3.61e-16  2.97e-01     300.7
  44    1.32188366e+07   1.01892986e+07   2.01e-13   2.24e-16  2.59e-01     302.3
  45    1.30415542e+07   1.05817549e+07   1.62e-13   1.03e-16  2.08e-01     304.9
  46    1.30141430e+07   1.06097013e+07   1.54e-13   8.61e-17  2.04e-01     306.8
  47    1.27518198e+07   1.06876919e+07   8.19e-14   1.59e-16  1.76e-01     308.2
  48    1.27225967e+07   1.07232387e+07   7.74e-14   1.37e-16  1.71e-01     309.9
  49    1.26789910e+07   1.08308943e+07   7.03e-14   7.35e-17  1.57e-01     311.3
  50    1.25847637e+07   1.08981152e+07   5.91e-14   4.95e-17  1.44e-01     312.7
  51    1.24639372e+07   1.09924577e+07   4.72e-14   3.44e-17  1.25e-01     314.2
  52    1.24117784e+07   1.10034476e+07   4.02e-14   4.71e-17  1.20e-01     315.7
  53    1.22879883e+07   1.11009420e+07   3.00e-14   3.91e-17  1.02e-01     317.0
  54    1.22745163e+07   1.11032166e+07   2.82e-14   6.24e-17  1.00e-01     318.5
  55    1.21695906e+07   1.11320780e+07   2.96e-14   8.34e-17  8.91e-02     320.0
  56    1.21549540e+07   1.11506565e+07   2.81e-14   8.82e-17  8.62e-02     321.5
  57    1.20810980e+07   1.11970918e+07   2.21e-14   9.53e-17  7.60e-02     322.8
  58    1.20012702e+07   1.12464701e+07   4.44e-14   6.29e-17  6.49e-02     324.2
  59    1.19864468e+07   1.12542598e+07   4.08e-14   8.01e-17  6.30e-02     325.7
  60    1.19080857e+07   1.12922578e+07   2.99e-14   6.71e-17  5.31e-02     327.1
  61    1.18906055e+07   1.13050962e+07   6.18e-14   6.27e-16  5.05e-02     328.8
  62    1.18302662e+07   1.13642342e+07   5.53e-14   6.44e-16  4.02e-02     330.4
  63    1.18047259e+07   1.14027104e+07   4.50e-14   4.12e-16  3.46e-02     332.9
  64    1.18026039e+07   1.14034909e+07   3.53e-13   3.88e-16  3.44e-02     334.7
  65    1.17716450e+07   1.14111570e+07   2.14e-13   3.24e-16  3.11e-02     336.2
  66    1.17440232e+07   1.14531410e+07   1.57e-13   4.48e-16  2.51e-02     337.8
  67    1.17271788e+07   1.14635132e+07   1.27e-13   3.66e-16  2.27e-02     339.8
  68    1.17261424e+07   1.14650828e+07   1.48e-13   4.25e-16  2.25e-02     341.7
  69    1.17009376e+07   1.14838312e+07   1.08e-13   2.96e-16  1.87e-02     343.5
  70    1.16915938e+07   1.14862242e+07   2.58e-13   2.68e-16  1.77e-02     345.5
  71    1.16852305e+07   1.14870976e+07   2.23e-13   2.82e-16  1.71e-02     347.1
  72    1.16707327e+07   1.14977731e+07   1.77e-13   3.82e-16  1.49e-02     348.6
  73    1.16602976e+07   1.15084088e+07   1.42e-13   2.95e-16  1.31e-02     350.4
  74    1.16591939e+07   1.15123483e+07   1.29e-13   6.95e-16  1.27e-02     352.1
  75    1.16457926e+07   1.15250303e+07   6.74e-14   4.33e-16  1.04e-02     353.7
  76    1.16450018e+07   1.15260443e+07   7.31e-14   4.03e-16  1.03e-02     355.6
  77    1.16348911e+07   1.15305760e+07   3.89e-14   2.96e-16  9.01e-03     357.2
  78    1.16345082e+07   1.15311681e+07   3.81e-14   2.87e-16  8.92e-03     359.0
  79    1.16302009e+07   1.15390032e+07   3.24e-14   2.83e-16  7.87e-03     360.6
  80    1.16250946e+07   1.15456303e+07   2.64e-14   2.01e-16  6.86e-03     362.2
  81    1.16207441e+07   1.15481975e+07   2.14e-14   1.70e-16  6.26e-03     363.7
  82    1.16151573e+07   1.15528487e+07   2.80e-14   1.16e-16  5.38e-03     365.3
  83    1.16112227e+07   1.15570557e+07   3.67e-14   1.90e-16  4.68e-03     367.0
  84    1.16086822e+07   1.15587514e+07   3.57e-14   1.56e-16  4.31e-03     368.8
  85    1.16056536e+07   1.15597841e+07   3.71e-14   1.39e-16  3.96e-03     370.4
  86    1.16027791e+07   1.15620292e+07   4.59e-14   3.28e-16  3.52e-03     372.0
  87    1.16011994e+07   1.15638287e+07   4.00e-14   2.83e-16  3.23e-03     373.7
  88    1.16006243e+07   1.15641956e+07   3.42e-14   2.68e-16  3.15e-03     375.3
  89    1.15977688e+07   1.15662224e+07   2.67e-14   2.25e-16  2.72e-03     377.1
  90    1.15974782e+07   1.15663880e+07   2.46e-14   1.21e-16  2.68e-03     378.7
  91    1.15941863e+07   1.15694957e+07   1.59e-14   1.03e-16  2.13e-03     380.2
  92    1.15941680e+07   1.15695680e+07   1.59e-14   1.13e-16  2.12e-03     381.9
  93    1.15934271e+07   1.15725461e+07   1.38e-14   1.22e-16  1.80e-03     383.4
  94    1.15932531e+07   1.15726117e+07   1.35e-14   1.72e-16  1.78e-03     384.8
  95    1.15926311e+07   1.15747642e+07   1.20e-14   1.01e-16  1.54e-03     386.2
  96    1.15924043e+07   1.15756650e+07   1.16e-14   1.34e-16  1.45e-03     387.6
  97    1.15917594e+07   1.15756603e+07   9.83e-15   1.05e-16  1.39e-03     389.0
  98    1.15915528e+07   1.15756472e+07   9.27e-15   9.15e-17  1.37e-03     390.4
  99    1.15914254e+07   1.15757098e+07   9.05e-15   6.85e-17  1.36e-03     391.9
 100    1.15905323e+07   1.15765978e+07   7.78e-15   1.06e-16  1.20e-03     393.2
 101    1.15893332e+07   1.15773328e+07   6.37e-15   1.09e-16  1.04e-03     394.6
 102    1.15885454e+07   1.15773736e+07   4.90e-15   6.07e-17  9.65e-04     396.0
 103    1.15884246e+07   1.15773821e+07   4.81e-15   6.00e-17  9.53e-04     397.4
 104    1.15883468e+07   1.15775014e+07   4.61e-15   2.17e-16  9.36e-04     398.9
 105    1.15871778e+07   1.15781297e+07   6.50e-15   2.62e-16  7.81e-04     400.4
 106    1.15850010e+07   1.15789580e+07   4.09e-15   1.60e-16  5.22e-04     401.8
 107    1.15843722e+07   1.15790493e+07   1.96e-15   1.37e-16  4.60e-04     403.5
 108    1.15839113e+07   1.15793181e+07   2.27e-15   1.13e-16  3.97e-04     405.1
 109    1.15833962e+07   1.15799920e+07   3.23e-15   8.62e-17  2.94e-04     406.7
 110    1.15829012e+07   1.15807155e+07   1.82e-15   6.12e-17  1.89e-04     408.3
 111    1.15824969e+07   1.15810522e+07   2.68e-15   4.38e-17  1.25e-04     409.8
 112    1.15824955e+07   1.15810531e+07   2.41e-15   7.84e-17  1.25e-04     411.3
 113    1.15824884e+07   1.15810537e+07   2.68e-15   1.08e-16  1.24e-04     412.7
 114    1.15824572e+07   1.15810530e+07   2.14e-15   6.72e-17  1.21e-04     414.0
 115    1.15823947e+07   1.15811077e+07   2.18e-15   1.05e-16  1.11e-04     415.3
 116*   1.15821320e+07   1.15811955e+07   8.72e-16   5.67e-17  8.09e-05     416.7
Summary
    Runtime:                                            416.70s
    Status interior point solve:                        optimal
    Status crossover:                                   not run
    objective value:                                    1.15821320e+07
    interior solution primal residual (abs/rel):        7.09e-11 / 2.55e-15
    interior solution dual residual (abs/rel):          1.16e-12 / 4.39e-17
    interior solution objective gap (abs/rel):          9.36e+02 / 8.09e-05
Ipx: IPM       optimal
WARNING: Solution optimality conditions: Before postsolve
num/max      0 /        0 (relative      0 /        0) primal infeasibilities     (tolerance = 1e-05)
num/max     10 /  0.00752 (relative      3 / 7.37e-05)   dual infeasibilities     (tolerance = 1e-05)
num/max      0 / 8.26e-11 (relative      0 / 1.06e-14) primal residual errors     (tolerance = 1e-07)
num/max      0 / 9.09e-13 (relative      0 / 8.91e-15)   dual residual errors     (tolerance = 1e-07)
                                         1 / 3.64e-05  P-D objective error        (tolerance = 1e-07)
WARNING: LP solver claims optimality, but with
WARNING:    num/max      3 / 7.37e-05 relative   dual infeasibilities (tolerance = 1e-05)
WARNING:                     3.64e-05 relative P-D objective error    (tolerance = 1e-07)
WARNING: Model status changed from "Optimal" to "Unknown" since relative violation of tolerances is      364

Performed postsolve

Model name          : linopy-problem-_kgy3aom
Model status        : Unknown
IPM       iterations: 116
Objective value     :  1.1582131966e+07
P-D objective error :  3.6467840753e-05
HiGHS run time      :        416.78
